JobTitle,CompanyName,ApprovedOn,SalaryMin,SalaryMax,PrettySalary,Skills,WorkingLocations,JobType,JobLevel,CompanySize,LanguageSelected
02 Unity Game Developer (C#),Công Ty Phần Mềm Tower Hanoi (Tohsoft),2/14/2022,500,1500,$500 - $1500,"C#,Unity,Game Developers;",Hà Nội,toàn thời gian,Nhân viên,25-99 Nhân viên,Bất kỳ
Sumitrust - CNTT Chuyên Viên Công Nghệ Thông Tin,Công Ty Cho Thuê Tài Chính TNHH BIDV - Sumi Trust,2/8/2022,300,300,Thương lượng,"IT System,C#,HTML,IT Project Management,Java;",Hà Nội,toàn thời gian,Nhân viên,25-99 Nhân viên,Tiếng Anh
2D Game Artist & Animation 2D (UX/UI),Công Ty CP Bow Media,2/8/2022,500,1000,$500 - $1000,"Games Artist,UI Design,UX Design,2D Artist,Animation 2D;",Hà Nội,toàn thời gian,Nhân viên,25-99 Nhân viên,Bất kỳ
Recruitment Manager,"Tek Experts Co., Ltd",2/8/2022,4000,5000,Thương lượng,"Recruitment,Talent Acquisition;",Hà Nội,toàn thời gian,Trưởng phòng,500-999 Nhân viên,Bất kỳ
Mobile Developer (IOS/ Android) - (Salary 700$ - 1800$),FPT Telecom,2/8/2022,700,1800,$700 - $1800,"iOS Development,Swift iOS,Android,Lập Trình Mobile;",Hồ Chí Minh,toàn thời gian,Nhân viên,"5,000-9,999 Nhân viên",Bất kỳ
Devops/ System Engineer,FPT Telecom,2/8/2022,800,2300,$800 - $2300,"DevOps,System,Nginx,Python,Docker;","Hồ Chí Minh,Hà Nội",toàn thời gian,Nhân viên,"5,000-9,999 Nhân viên",Bất kỳ
IT Software Develop Manager,SHI Solution,2/14/2022,400,1500,Thương lượng,"IT Management,Software Development Management,English,Korean;",Hồ Chí Minh,toàn thời gian,Trưởng phòng,10-24 Nhân viên,Bất kỳ
Lập Trình Viên .Net (04 Người),Trung Tâm Chuyển Đổi Số - Tổng Công Ty Hạ Tầng Mạng,2/14/2022,1500,2000,Thương lượng,"C#,ASP.NET,MVC,HTML,JavaScript;",Hà Nội,toàn thời gian,Nhân viên,,Bất kỳ
Lập Trình Viên Java (05 Người),Trung Tâm Chuyển Đổi Số - Tổng Công Ty Hạ Tầng Mạng,2/14/2022,1500,2000,Thương lượng,"Java,Oracle,JavaScript,Web API,Java Springboot;",Hà Nội,toàn thời gian,Nhân viên,,Bất kỳ
"Kỹ Sư An Ninh Thông Tin (Giám Sát, Điều Tra, Phát Triển Giải Pháp và Xử Lý Sự Cố ATTT) ( 5 Người)",Trung Tâm Chuyển Đổi Số - Tổng Công Ty Hạ Tầng Mạng,2/14/2022,1500,2000,Thương lượng,"Malware Analysis,Network Traffic Analysis,Mcafee,Ddos,An Ninh Thông Tin;",Hà Nội,toàn thời gian,Nhân viên,,Bất kỳ
Automation Tester ~ Up to 2000$,Techcom Securities (Tcbs),2/14/2022,1000,2000,$1000 - $2000,"Testing,Java,Selenium,Maven,Database Testing;",Hà Nội,toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
[Viettel Cyberspace] Project Manager,Trung Tâm Không Gian Mạng Viettel (Viettel Cyberspace Center - VTCC),2/14/2022,750,1500,$750 - $1500,PMP;,Hà Nội,toàn thời gian,Nhân viên,"10,000-19,999 Nhân viên",Bất kỳ
Nhân Viên Giải Pháp Công Nghệ,Công Ty TNHH MTV Phát Triển Công Viên Phần Mềm Quang Trung,2/14/2022,300,1000,Thương lượng,"Công Nghệ Thông Tin,Quản Trị Kinh Doanh,Bán Hàng,Quản Lý Dự Án Công Nghệ,Giải Pháp Công Nghệ;",Hồ Chí Minh,toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
"Senior Officer, Business Performance Management",Techcombank,2/8/2022,500,1500,Thương lượng,"Data Warehouse,Business Analysis,Financial Control,Forecast Analysis,Planning;",Hà Nội,toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
Chuyên Viên Nghiệp Vụ Về Quản Lý Hạ Tầng và Bảo Mật,Hyundai Thành Công Việt Nam (Hyundai-Thanhcong.vn),2/8/2022,500,1000,Thương lượng,"Quản Trị Hệ Thống Máy Chủ,Quản Trị Hệ Thống Mạng,Quản Trị Hệ Thống Thông Tin,Bảo Mật Thông Tin;",Hà Nội,toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
Nhân Viên Bán Hàng - Hỗ Trợ Sau Bán Hàng (Sản Phẩm Phần Mềm),Ecount Vietnam,2/8/2022,500,1000,$500 - $1000,"Phần Mềm ERP,Chăm Sóc Khách Hàng,Bán Hàng,Triển Khai Phần Mềm,Tư Vấn Nghiệp Vụ ERP;",Hồ Chí Minh,toàn thời gian,Mới tốt nghiệp/Thực tập sinh,25-99 Nhân viên,Bất kỳ
Project Manager,Công Ty Cổ Phần Giải Pháp Phần Mềm Tài Chính - Financial Software Solutions,2/8/2022,1000,0,Thương lượng,"Project Analyst,Bitcoin,Chứng Khoán,Công Nghệ Thông Tin,Project Management;","Hà Nội,Hồ Chí Minh",toàn thời gian,Trưởng phòng,100-499 Nhân viên,Bất kỳ
Data Engineer (14 - 50 Triệu),FPT Telecom,2/8/2022,700,2300,$700 - $2300,"Data Engineering,Data Analyst,Python,Java,Linux;",Hồ Chí Minh,toàn thời gian,Nhân viên,"5,000-9,999 Nhân viên",Bất kỳ
IT Software Developer : 05 People,SHI Solution,2/14/2022,400,1500,Thương lượng,"English,Korean,IT Software Development,Phát Triển Phần Mềm;",Hồ Chí Minh,toàn thời gian,Nhân viên,10-24 Nhân viên,Bất kỳ
Kỹ Thuật Viên Máy Tính - IT Helpdesk,VPĐD Ove Decors Ulc Tại TP.HCM,2/14/2022,300,500,Thương lượng,"IT Hardware,Hệ Thống Mạng,Bảo Trì Hệ Thống Máy Tính,Quản Trị Hệ Thống Máy Tính,IT Hepdesk;",Bình Dương,toàn thời gian,Nhân viên,10-24 Nhân viên,Bất kỳ
SAP ABAP Developer,Teamwork Vietnam Ltd,2/14/2022,1000,1500,Thương lượng,"SAP,ABAP,Hana Database,SAP Consulting,SAP ABAP;",Hồ Chí Minh,toàn thời gian,Nhân viên,25-99 Nhân viên,Tiếng Anh
"04 Fullstack Nodejs (NodeJS, ReactJS)",Công Ty Cổ Phần Công Nghệ Giáo Dục Thành Phát,2/14/2022,700,1000,Thương lượng,"Software,JavaScript,NodeJS,ReactJS,Full Stack Development;",Hà Nội,toàn thời gian,Nhân viên,100-499 Nhân viên,Tiếng Việt
IT Project Manager,Phillip Capital Singapore,2/18/2022,2000,4000,$2000 - $4000,"IT System,Data Structure,Agile,Lean,Waterfall Project Management;",Hà Nội,toàn thời gian,Trưởng phòng,500-999 Nhân viên,Tiếng Anh
IT Sales Executive,Teamwork Vietnam Ltd,2/14/2022,1000,2000,Thương lượng,"ERP,SAP;",Hồ Chí Minh,toàn thời gian,Nhân viên,25-99 Nhân viên,Tiếng Anh
PHP Developer (Thu Nhập Tương Đương Từ 14 - 22 Tháng Lương),FPT Telecom,2/8/2022,700,1500,Thương lượng,"PHP,Laravel,Yii,Zend,My SQL;",Hồ Chí Minh,toàn thời gian,Nhân viên,"5,000-9,999 Nhân viên",Bất kỳ
"Software Developer (NodeJS, ReactJS/ Python)",FPT Telecom,2/8/2022,500,1100,$500 - $1100,"ReactJS,JavaScript,HTML,MVC,Python;","Hà Nội,Hồ Chí Minh",toàn thời gian,Nhân viên,"5,000-9,999 Nhân viên",Bất kỳ
Email Marketing Specialist,Công Ty TNHH Boxgates,2/14/2022,500,700,Thương lượng,"E Commerce,Marketing Campaign,English,IT Software,Email Marketing;",Hồ Chí Minh,toàn thời gian,Nhân viên,10-24 Nhân viên,Bất kỳ
Business Analyst (Erp/crm),Công Ty TNHH Ecom365,2/14/2022,1000,1800,Thương lượng,"ERP,Business Analysis,CRM,Saas;",Hồ Chí Minh,toàn thời gian,Nhân viên,10-24 Nhân viên,Bất kỳ
